-ne EMBL_ACC	LEN_(MB)	LEN_(BPs)	NUM_GENES	GC_CONTENT	NCBI_TAXONOMY	SPECIES_NAME	DESCRIPTION

AB097150.1	0.0MB	5045	0	0.24	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae;Candidatus Phytoplasma; Candidatus Phytoplasma asteris.	Onion yellows phytoplasma	Onion yellows phytoplasma extrachromosomal DNA, complete sequence.
AB370334.1	0.0MB	1815	0	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus brevis	Lactobacillus brevis pasmid pLB925A01 DNA, complete sequence.
AB370335.1	0.0MB	3524	0	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus brevis	Lactobacillus brevis pasmid pLB925A02 DNA, complete sequence.
AB370336.1	0.0MB	8881	0	0.42	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus brevis	Lactobacillus brevis pasmid pLB925A03 DNA, complete sequence.
AB370337.1	0.1MB	65037	0	0.41	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus brevis	Lactobacillus brevis pasmid pLB925A04 DNA, complete sequence.
AE000511.1	1.7MB	1667867	0	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori 26695	Helicobacter pylori 26695, complete genome.
AE000512.1	1.9MB	1860725	0	0.46	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	Thermotoga maritima MSB8	Thermotoga maritima MSB8, complete genome.
AE000513.1	2.6MB	2648638	0	0.67	Bacteria; Deinococcus-Thermus; Deinococci; Deinococcales; Deinococcaceae;Deinococcus.	Deinococcus radiodurans R1	Deinococcus radiodurans R1 chromosome 1, complete sequence.
AE000516.2	4.4MB	4403837	0	0.66	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium; Mycobacterium tuberculosis complex.	Mycobacterium tuberculosis CDC1551	Mycobacterium tuberculosis CDC1551, complete genome.
AE000520.1	1.1MB	1138011	0	0.53	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	Treponema pallidum subsp. pallidum str. Nichols	Treponema pallidum subsp. pallidum str. Nichols complete genome.
AE000657.1	1.6MB	1551335	0	0.43	Bacteria; Aquificae; Aquificales; Aquificaceae; Aquifex.	Aquifex aeolicus VF5	Aquifex aeolicus VF5, complete genome.
AE000783.1	0.9MB	910724	0	0.29	Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borreliella.	Borrelia burgdorferi B31	Borrelia burgdorferi B31, complete genome.
AE001273.1	1.0MB	1042519	0	0.41	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydia trachomatis D/UW-3/CX	Chlamydia trachomatis D/UW-3/CX, complete genome.
AE001363.1	1.2MB	1230230	0	0.41	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydophila pneumoniae CWL029	Chlamydophila pneumoniae CWL029, complete genome.
AE001437.1	3.9MB	3940880	0	0.31	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae;Clostridium.	Clostridium acetobutylicum ATCC 824	Clostridium acetobutylicum ATCC 824, complete genome.
AE001439.1	1.6MB	1643831	0	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori J99	Helicobacter pylori J99, complete genome.
AE001825.1	0.4MB	412348	0	0.67	Bacteria; Deinococcus-Thermus; Deinococci; Deinococcales; Deinococcaceae;Deinococcus.	Deinococcus radiodurans R1	Deinococcus radiodurans R1 chromosome 2, complete sequence.
AE002098.2	2.3MB	2272360	0	0.52	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae;Neisseria.	Neisseria meningitidis MC58	Neisseria meningitidis MC58, complete genome.
AE002160.2	1.1MB	1072950	0	0.40	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydia muridarum str. Nigg	Chlamydia muridarum Nigg, complete genome.
AE002161.1	1.2MB	1229853	0	0.41	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydophila pneumoniae AR39	Chlamydophila pneumoniae AR39, complete genome.
AE003849.1	2.7MB	2679306	0	0.53	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Xylella.	Xylella fastidiosa 9a5c	Xylella fastidiosa 9a5c, complete genome.
AE003852.1	3.0MB	2961149	0	0.48	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio cholerae O1 biovar El Tor str. N16961	Vibrio cholerae O1 biovar eltor str. N16961 chromosome I, complete
AE003853.1	1.1MB	1072315	0	0.47	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio cholerae O1 biovar El Tor str. N16961	Vibrio cholerae O1 biovar eltor str. N16961 chromosome II, complete
AE004091.2	6.3MB	6264404	0	0.67	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa PAO1, complete genome.
AE004092.2	1.9MB	1852433	0	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pyogenes M1 GAS	Streptococcus pyogenes M1 GAS, complete genome.
AE004439.1	2.3MB	2257487	0	0.40	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;Pasteurellaceae; Pasteurella.	Pasteurella multocida subsp. multocida str. Pm70	Pasteurella multocida subsp. multocida str. Pm70, complete genome.
AE004969.1	2.2MB	2153922	0	0.53	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae;Neisseria.	Neisseria gonorrhoeae FA 1090	Neisseria gonorrhoeae FA 1090, complete genome.
